ISIN	Ticker	Currency	Offering, mln KZT	Yield, %	Maturity
KZKD00000238	MUM156_0001	KZT	14 812,50	9,7	5 (0)
KZKA00000140	MUJ168_0001	KZT	8 500,00	–	18 (0)
KZK100000266	MKM012_0150	KZT	78 539,60	13,7	48 (0)
KZKA00000272	MUJ156_0002	KZT	13 000,00	7,6	52 (0)
KZKA00000686	MUJ084_0002	KZT	180 000,00	0,1	53 (0)
KZKD00000378	MUM144_0003	KZT	422 370,50	15	140 (0)
KZKA00000405	MUJ144_0002	KZT	9 000,00	0	142 (0)
KZKD00000568	MUM132_0005	KZT	235 552,10	14,9	159 (0)
KZKD00000923	MUM072_0012	KZT	250 000,00	9,4	207 (1)
KZ000A1A1S55	MUM156_0002	KZT	222 113,90	12,5	224 (1)
KZKD00000428	MUM144_0004	KZT	30 686,70	10	224 (1)
KZKA00000603	MUJ120_0008	KZT	15 000,00	0	234 (1)
KZK100000274	MKM012_0151	KZT	119 868,70	15	246 (1)
KZKD00000816	MUM108_0011	KZT	145 110,30	14,7	263 (1)
KZKA00000231	MUJ168_0002	KZT	5 666,70	–	293 (1)
KZKA00000132	MUJ180_0005	KZT	62 000,00	0	351 (1)
KZKD00000345	MUM156_0003	KZT	50 473,00	14,3	409 (1)
KZKD00000881	MUM084_0017	KZT	313 491,10	14,8	414 (1)
KZKA00000165	MUJ180_0006	KZT	15 677,00	–	440 (1)
KZKA00000579	MUJ132_0003	KZT	10 000,00	0	503 (1)
KZKD00000105	MUM180_0001	KZT	313 383,70	12,5	524 (1)
KZKD00000139	MUM180_0002	KZT	302 087,00	14,1	558 (2)
KZKD00000782	MUM120_0014	KZT	139 272,40	13	600 (2)
KZKA00000348	MUJ168_0003	KZT	15 000,00	–	621 (2)
KZKD00000451	MUM156_0004	KZT	44 903,80	13,7	645 (2)
KZKA00000553	MUJ144_0003	KZT	60 000,00	0	666 (2)
XS1120709669	KZ_05_2410	USD	1 500,00	3,3	668 (2)
US486661AE13					
KZKA00000652	MUJ132_0005	KZT	14 000,00	0,1	774 (2)
KZK200000695	MOM036_0091	KZT	232 876,40	12,5	785 (2)
KZKA00000173	MUJ192_0001	KZT	15 000,00	7,5	834 (2)
KZKA00000504	MUJ156_0003	KZT	20 000,00	0	861 (2)
KZKD00000865	MUM120_0016	KZT	276 786,40	13,1	891 (2)
KZKA00000587	MUJ144_0004	KZT	10 000,00	0	894 (2)
KZK200000703	MOM036_0092	KZT	103 478,10	14	918 (3)
KZKD00000873	MUM132_0006	KZT	23 500,00	12,3	940 (3)
XS1263054519	KZ_07_2507	USD	2 500,00	4,2	945 (3)
KZKT00000016	MTM036_0001	KZT	191 065,90	15,9	959 (3)
KZKD00000709	MUM144_0006	KZT	11 500,00	6,4	969 (3)
KZKD00000469	MUM168_0001	KZT	14 666,70	13	1017 (3)
KZKA00000363	MUJ180_0007	KZT	15 000,00	0	1042 (3)
KZKA00000249	MUJ192_0002	KZT	17 000,00	–	1043 (3)
KZKD00000485	MUM168_0002	KZT	17 000,00	12,9	1060 (3)
KZKD00000337	MUM180_0003	KZT	20 050,00	15,8	1068 (3)
KZKA00000637	MUJ144_0005	KZT	14 300,00	0	1071 (3)
KZK200000687	MOM048_0052	KZT	181 653,60	12,3	1125 (3)
KZKA00000496	MUJ168_0004	KZT	15 000,00	0	1193 (3)
KZKA00000199	MUJ204_0001	KZT	12 000,00	0	1252 (3)
KZKA00000314	MUJ192_0003	KZT	9 000,00	0	1252 (3)
KZK200000711	MOM048_0053	KZT	77 200,00	0	1278 (4)
KZKD00000915	MUM108_0012	KZT	300 449,60	15,1	1287 (4)
KZKA00000215	MUJ204_0002	KZT	15 000,00	0	1314 (4)
KZK200000679	MOM060_0052	KZT	180 936,30	12	1318 (4)
KZKD00000444	MUM180_0004	KZT	67 000,00	13,1	1332 (4)
KZKA00000538	MUJ168_0005	KZT	30 000,00	0	1342 (4)
KZKT00000024	MTM048_0001	KZT	202 600,00	15,7	1353 (4)
KZK200000729	MOM048_0054	KZT	161 246,60	11,9	1360 (4)
KZKA00000611	MUJ156_0004	KZT	80 000,00	0	1374 (4)
XS2050933899	KZ_14_2609	EUR	500	1,6	1374 (4)
KZKD00000493	MUM180_0005	KZT	59 787,10	12,3	1427 (4)
KZKD00000899	MUM120_0017	KZT	391 982,60	12,3	1530 (4)
KZKD00000535	MUM180_0006	KZT	35 920,00	12,7	1551 (4)
KZKA00000306	MUJ204_0003	KZT	14 000,00	–	1583 (4)
KZKD00001145	MUM072_0013	KZT	439 908,90	11,2	1603 (4)
KZKD00000758	MUM156_0005	KZT	373 301,50	12,4	1634 (5)
KZKA00000207	MUJ216_0001	KZT	12 000,00	0	1643 (5)
KZKD00000907	MUM120_0018	KZT	276 361,70	12,1	1647 (5)
KZKA00000330	MUJ204_0004	KZT	36 000,00	0	1673 (5)
KZKD00000618	MUM180_0007	KZT	5 100,00	15,8	1722 (5)
KZKT00000032	MTM060_0001	KZT	210 000,00	15,9	1748 (5)
KZKD00000477	MUM192_0001	KZT	15 333,30	5,1	1753 (5)
KZKD00000659	MUM180_0008	KZT	35 420,00	12	1758 (5)
KZK200000737	MOM060_0054	KZT	7 505,00	0	1782 (5)
KZKA00000256	MUJ216_0002	KZT	12 000,00	0	1790 (5)
KZKA00000280	MUJ216_0003	KZT	18 000,00	7,7	1879 (5)
KZKD00001137	MUM084_0018	KZT	63 314,30	11,9	1926 (5)
KZKD00000543	MUM192_0002	KZT	78 048,00	9,9	1932 (5)
KZKA00000223	MUJ228_0001	KZT	19 000,00	0	2061 (6)
KZKD00000626	MUM192_0003	KZT	6 300,00	15,8	2084 (6)
KZKD00001095	MUM096_0011	KZT	72 889,70	13,2	2121 (6)
XS1901718335	KZ_10_2811	EUR	525	1,1	2133 (6)
KZKT00000040	MTM072_0001	KZT	50 000,00	15,9	2142 (6)
